date,payems,gdpc1,cpiaucsl,unrate,houst,indpro,dspic96,cpilfesl,pcepilfe,pcepi,permit,ulcnfb,a261rx1q020sbea
1947-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947-02-01,5.053405306074676e-4,NA,0.006517690875232907,NA,NA,0.005901682343769421,NA,NA,NA,NA,NA,NA,NA
1947-03-01,0.0011479211148610613,NA,0.01757631822386685,NA,NA,0.005874300118065445,NA,NA,NA,NA,NA,NA,NA
1947-04-01,-0.002476666590226384,NA,0,NA,NA,-0.007784258659177645,NA,NA,NA,NA,NA,NA,NA
1947-05-01,0.0031954757580634485,NA,-0.002272727272727315,NA,NA,0.003919035626936962,NA,NA,NA,NA,NA,NA,NA
1947-06-01,0.003941518859709392,-0.0026670598933373757,0.005922551252847352,NA,NA,7.229142117592957e-6,NA,NA,NA,NA,NA,-1.2519561815327318e-4,-0.0012360927124294152
1947-07-01,-0.0015293312029217576,NA,0.006793478260869623,NA,NA,-0.005862791874503115,NA,NA,NA,NA,NA,NA,NA
1947-08-01,0.004960793726996426,NA,0.007647323436797082,NA,NA,0.005897366909299873,NA,NA,NA,NA,NA,NA,NA
1947-09-01,0.005527752502274774,-0.002065032251959531,0.019642857142857295,NA,NA,0.007807417046193921,NA,NA,NA,NA,NA,0.062292618794215215,0.0011424207956471921
1947-10-01,0.004705562970839017,NA,0.0030647985989491477,NA,NA,0.009690839968438336,NA,NA,NA,NA,NA,NA,NA
1947-11-01,0.00164373691202635,NA,0.006547359231776406,NA,NA,0.01343411882552692,NA,NA,NA,NA,NA,NA,NA
1947-12-01,0.0021805593022210523,0.015642763801872128,0.015177797051170838,NA,NA,0.003792445952387702,NA,NA,NA,NA,NA,-0.017857142857142905,0.009591458150573828
1948-01-01,0.0021982458895044577,NA,0.011533532678342562,NA,NA,0.005656701095724026,NA,NA,NA,NA,NA,NA,NA
1948-02-01,-0.003267754426016678,NA,-4.222972972972583e-4,0.11764705882352944,NA,0.0018819052380854018,NA,NA,NA,NA,NA,NA,NA
1948-03-01,0.0033682886847954396,0.01504200324044458,-0.007182087029995898,0.05263157894736836,NA,-0.011242496915591205,NA,NA,NA,NA,NA,0.019141914191419307,0.026804607699981498
1948-04-01,-0.0068034823087079754,NA,0.013617021276595809,-0.025000000000000022,NA,0.0018927179429659713,NA,NA,NA,NA,NA,NA,NA
1948-05-01,0.009396336104914527,NA,0.007976490344248521,-0.10256410256410253,NA,0.017016274611326487,NA,NA,NA,NA,NA,NA,NA
1948-06-01,0.005312974372711832,0.01650680593760212,0.005830903790087438,0.028571428571428692,NA,0.013009617898372294,NA,NA,NA,NA,NA,0.016073951954781007,0.023143554489577944
1948-07-01,0.002797886041657316,NA,0.010351966873705987,0,NA,0,NA,NA,NA,NA,NA,NA,NA
1948-08-01,3.9858281665194895e-4,NA,0.0012295081967212962,0.08333333333333326,NA,-0.003667357125878623,NA,NA,NA,NA,NA,NA,NA
1948-09-01,0.0025676214086503,0.005729301913050655,-0.002865329512893977,-0.02564102564102566,NA,-0.007368528680004149,NA,NA,NA,NA,NA,0.019412412354406827,8.125360559940731e-4
1948-10-01,-0.00108182099174281,NA,-0.0020525451559935126,-0.02631578947368407,NA,0.007423226940614258,NA,NA,NA,NA,NA,NA,NA
1948-11-01,-0.0011714001547131758,NA,-0.006170300287947295,0.027027027027026973,NA,-0.012889812889812835,NA,NA,NA,NA,NA,NA,NA
1948-12-01,-0.0035404496371038707,0.0011171215750664931,-0.004552980132450313,0.05263157894736836,NA,-0.009329208501940522,NA,NA,NA,NA,NA,0.005457025920873049,0.005100140800282205
1949-01-01,-0.008083140877598205,NA,-0.0016632016632016633,0.07499999999999996,NA,-0.00941706223904415,NA,NA,NA,NA,NA,NA,NA
1949-02-01,-0.0038282439330169504,NA,-0.004164931278633932,0.09302325581395365,NA,-0.009506586354424695,NA,NA,NA,NA,NA,NA,NA
1949-03-01,-0.005775670269905886,-0.013779464904233096,0,0.06382978723404253,NA,-0.01919565788819355,NA,NA,NA,NA,NA,-0.00401402080506541,-0.01983367024860805
1949-04-01,-9.041591320069209e-5,NA,4.182350480970154e-4,0.06000000000000005,NA,-0.0058670568380184696,NA,NA,NA,NA,NA,NA,NA
1949-05-01,-0.005696717605570112,NA,-4.180602006689238e-4,0.15094339622641506,NA,-0.013777878163046764,NA,NA,NA,NA,NA,NA,NA
1949-06-01,-0.005570207348126632,-0.0034110092971006978,4.182350480970154e-4,0.016393442622950838,NA,-0.002002098139747943,NA,NA,NA,NA,NA,-0.008230686268944742,-0.0028474593055171082
1949-07-01,-0.004755481378175053,NA,-0.009197324414715768,0.08064516129032251,NA,-0.0019987119411933874,NA,NA,NA,NA,NA,NA,NA
1949-08-01,0.0021364085364452556,NA,0,0.014925373134328401,NA,0.010020991417996283,NA,NA,NA,NA,NA,NA,NA
1949-09-01,0.003576013203741013,0.010324247766706929,0.0021097046413502962,-0.02941176470588236,NA,0.009921567475471349,NA,NA,NA,NA,NA,-0.020890567765567858,0.005377447853604389
1949-10-01,-0.01914116034719049,NA,-0.003368421052631465,0.19696969696969702,NA,-0.03732575135072236,NA,NA,NA,NA,NA,NA,NA
1949-11-01,0.006986167388570719,NA,0.0012674271229402567,-0.189873417721519,NA,0.02652848488510884,NA,NA,NA,NA,NA,NA,NA
1949-12-01,0.006475186161602142,-0.008392674404299139,-0.0037974683544304,0.031249999999999778,NA,0.01789577477225568,NA,NA,NA,NA,NA,0.0024551353247208585,-0.013509669471841734
